,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5341362987954764e-22,-0.0006471442293049084,-0.0005713225095593729,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.078859654115529e-06,-0.03228582096212768,5.078859654115529e-06,-5.41976420887466e-05,-5.355906205312265e-05,0.01523993171816988,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,29407.0,13953.0,,27943.0,30172.0,30014.0,29940.0,29566.0,27162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.320581975614913e-05,-0.019560333820795504,1.320581975614913e-05,-3.341621355375915e-05,-3.064480889501022e-05,0.018042013636178612,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,16416.0,16534.0,,15673.0,15892.0,16118.0,15952.0,16537.0,14441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1661827254170197e-05,-0.008977074269097326,2.1661827254170197e-05,-1.6651021283954817e-05,-8.455803082920588e-06,0.0193759019534224,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,12092.0,11984.0,,11332.0,11950.0,11970.0,12299.0,12164.0,12145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.490350730017859e-05,0.0019565825511778296,3.490350730017859e-05,2.0085005194108616e-06,1.4377037802001512e-05,0.020102149478739745,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,9583.0,9211.0,,9079.0,9661.0,9569.0,9748.0,9576.0,9659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.989827349980981e-05,0.013312271700504301,4.989827349980981e-05,2.2197419504902046e-05,3.6934046912503785e-05,0.02062643534667824,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,7759.0,7674.0,,7351.0,7743.0,7704.0,7680.0,7573.0,7641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.432554039996878e-05,0.024464333231128853,6.432554039996878e-05,4.3069856008262114e-05,5.850900277439618e-05,0.02122708082468296,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,5990.0,6104.0,,5681.0,6111.0,6108.0,6000.0,6063.0,5474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.808884194687341e-05,0.03535518771976439,7.808884194687341e-05,6.385436403968544e-05,7.820939119282496e-05,0.022043393565065676,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,4882.0,4878.0,4878.0,4557.0,4798.0,4842.0,4803.0,4777.0,4748.0,-0.027527337410644698,-0.005725438849868605,-0.001466852936540722,0.06188675118709854,0.03651185984506589,0.40727177277848575,0.009996377099392207,-9.992755511325298e-05,-0.02636787180429989,-0.019992754198784417,0.6432332007816735,0.6459446198972422,0.026579955311837936,0.01716917913079084,0.06487559183687489,-0.31724285302825317,0.40727177277848575,0.6459446198972422,0.013694414072621895,-9.831535108066128e-09,-6.104017342345257e-06,-0.0025220711448920197,0.017749388461039503,0.3321302772619377,0.3157767045324593,0.3299301718019842,0.3299301718019842,0.5632606585689284,0.5248244523854332,0.5456503356973728,0.4670684876933703,0.44012932332378796,0.45040630278771054,0.5617853044500488,0.5351121204572162,0.5269661633548512,0.3157767045324593,0.3299301718019842,0.3321302772619377,0.6146780709538536,0.6129267236065014,0.6410688325392496,-0.029057846471773174,9.10228930299655e-05,0.04544059554385244,9.10228930299655e-05,8.409959043870056e-05,9.696513670678243e-05,0.023187562015429715,6.274362554264819e-05,6.310286033391168e-05,6.667206666155405e-05,6.676986477832178e-05,4.253072300486674e-05,3.989863473245714e-05,3.841040315239169e-05,3.700796789589909e-05,5.513195258845392e-05,5.664958844946396e-05,0.021014047185356304,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,303.7034606933594,0.0005454087926015739,3.841040315239169e-05,2.2174234644224116e-09,2.066109247499821e-09,2.148095804914547e-09,2.076196247916306e-09,1.9564472315304132e-09,2.0021300955323984e-09,1.0161923137083786e-09,9.679441941136876e-10,9.532092786047727e-10,4.658840252306471e-10,4.86765471543349e-10,4.900114170893723e-10,1.868333786971893e-09,1.863010510322859e-09,1.948549356493352e-09,1.1737447226847284e-05,4.856022834777832,3.700796789589909e-05
9,3842.0,3865.0,3865.0,3632.0,3929.0,3799.0,3798.0,3856.0,3439.0,-0.015970869530812244,-0.007902669531608786,-0.00045157536153803796,0.04485905078533884,0.03418649679515726,0.25471245656789415,0.010045062427667997,-0.00010090327917574729,0.017396806154933515,-0.020090124855335994,0.4061963476985962,0.37739084704924614,0.022941725434449996,0.00865799719447832,0.04136424018982703,-0.17572965558560538,0.25471245656789415,0.37739084704924614,0.011687024914426341,1.1378617181087555e-08,-8.12386356600134e-06,-0.0024376817421413502,0.01494746598295885,0.19483171439578786,0.1898330245992597,0.1889407139288938,0.1889407139288938,0.3695066801848067,0.3145798167972373,0.34485246518931695,0.25961741046455283,0.32632613678931005,0.2952787652782038,0.3312754461721747,0.31936374495536346,0.32331009934040494,0.1898330245992597,0.1889407139288938,0.19483171439578786,0.40407246756595405,0.39356596492007756,0.38882008208576424,-0.038387464182379295,0.0001036574129355501,0.05512694640222808,0.0001036574129355501,0.00010294696996748375,0.00011481245879733999,0.024686765838161064,7.96565974408551e-05,8.028609720644257e-05,8.351872773043053e-05,8.35564427301006e-05,5.608757801930439e-05,5.357154250850976e-05,5.208500629338124e-05,5.030440239265682e-05,7.385031573947533e-05,7.502976949695978e-05,0.021067866455309277,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,303.6735534667969,0.0005561221733933019,5.208500629338124e-05,2.3445840010399333e-09,1.9960635221641727e-09,2.1881487289963703e-09,1.8109295426612126e-09,2.2762481167839555e-09,2.0596809682601584e-09,1.0421317341596531e-09,1.0046597090237623e-09,1.017074215400291e-09,5.149881184484895e-10,5.125674153375671e-10,5.285488034686857e-10,2.203758359088592e-09,2.1464572685933398e-09,2.1205738446858053e-09,1.018279947339502e-05,4.14257287979126,5.030440239265682e-05
10,3050.0,3031.0,3031.0,2895.0,3028.0,3151.0,3017.0,3074.0,2794.0,-0.021161927529959625,-0.013333147356319078,-0.002597192955282596,0.03207332261246134,0.034423879994018934,0.1500017505315931,0.0010854898602888636,-1.178288236789937e-06,-0.007196170687917484,-0.0021709797205777272,0.24437626450443511,0.22714885400481732,0.021672789824603782,0.004922949371746015,0.041043809193013855,-0.13073104927494783,0.1500017505315931,0.22714885400481732,0.01254013660870975,-7.790581893043546e-09,-1.1294317483662809e-06,-0.002980830906420956,0.019010284610590095,0.14620250981973973,0.1516775603165047,0.15693231284899567,0.15693231284899567,0.18675794959580216,0.20118336015689525,0.20936909526725334,0.18986944958787808,0.20728809730964598,0.20771880882653937,0.22312491172496776,0.22027111236580096,0.2054167089325773,0.1516775603165047,0.15693231284899567,0.14620250981973973,0.24532625403038347,0.24513076781324525,0.2460717768637551,-0.04922861694400533,0.00011557335019460883,0.06399720516236149,0.00011557335019460883,0.00012190479042063903,0.00013131165236171877,0.026275643984361538,9.457111419571202e-05,9.583204479693473e-05,9.897293826965482e-05,9.922999008769238e-05,6.86884433224582e-05,6.648537672002923e-05,6.609500350255663e-05,6.381975703378036e-05,9.452860250056734e-05,9.652900993619271e-05,0.021135697567904618,90.0,90.0,90.0,90.0,90.0,90.0,303.5932312011719,0.0005504854180910504,6.609500350255663e-05,1.6703062595761043e-09,1.799322741119713e-09,1.8725334645382053e-09,1.8598932516818473e-09,2.0305200977671895e-09,2.0347391938115e-09,1.0527261471620791e-09,1.0392616299957824e-09,9.691770357935705e-10,6.626109284622066e-10,6.855665749476023e-10,6.386928994177735e-10,2.1921511832334825e-09,2.1904043855093698e-09,2.198812919327577e-09,9.681619076210401e-06,4.44026517868042,6.381975703378036e-05
