index,Q8-Q41_185005010000-185005020000,Q8-Q41_185005010100-185005020000,Q8-Q41_185005010100-185105010000
ntimes,1,1,1
arraysize,4608,4608,1681920
runtime,0:00:54.252800,0:00:51.711786,6:49:20.057550
