,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,458415.0,349.97205500106446,0.07403993586179222,-0.005481912102418306,-42.91987901387903,-0.14807987172358444,428.8374504802501,442.0922119458985,0.06729678050784045,29.751382551548808,-0.7048994599440878,-91.47595907284979,349.97205500106446,442.0922119458985,0.06070158795985862,-1.5111387309875425e-07,4.393280752673894e-06,-0.0057304243767819125,0.01603380638739728,371.7507432137108,0.0027540407175635473,-4.1228550443923996e-09,-3.8386422205839956e-09,0.021545301059998908,84.15106807538886,299.1684265136719,0.003353154604766889,6.318994492418856e-15,3.123916536139786e-05,16.562971115112305
9,362149.0,17.213031789616497,-0.10223034399734468,-0.010451043233815425,-2.5300481699907356,0.20446068799468933,20.643634184872703,21.500762650147387,0.06572710814073182,1.4131829518144448,0.34420758850986893,-4.695491651046722,17.213031789616497,21.500762650147387,0.06355320200596364,-2.3220806410803172e-07,3.097091784319793e-05,-0.007329382439032975,0.039124290061921786,25.612755848360035,-0.013732837505035417,1.7595187058649372e-08,1.959877674747044e-08,0.02206042996453986,87.41074588205832,299.4877624511719,0.004054846586524908,7.92946864614348e-15,3.198692338092063e-05,17.415218353271484
10,288117.0,3.178540874460031,-0.07880830813779764,-0.00621074943154206,-0.6618827707216509,0.15761661627559526,3.77536562227347,3.986265110297913,0.06008052304207624,0.23949689281107833,0.2216110207248085,-1.0922304906803288,3.178540874460031,3.986265110297913,0.06289523411763834,-4.020037370282094e-07,6.141811894734937e-05,-0.010957681256815746,0.06390699178013529,4.4489650290566685,-0.034789432647015076,4.644395882122044e-08,5.041725759307846e-08,0.022401503157166092,90.0,299.7098693847656,0.004824595095089585,9.596601358812693e-15,3.015004928634315e-05,17.286102294921875
11,231016.0,1.3078477107519153,-0.0646785165450494,-0.0041833105024682285,-0.37147110437753916,0.1293570330900988,1.5322889542729963,1.6401922182507,0.052418197756790574,0.08597592005541418,0.1700196531339823,-0.5617649733495196,1.3078477107519153,1.6401922182507,0.059400812716752606,-6.56606695291119e-07,8.599044281505313e-05,-0.01626503732143038,0.08331509252549435,1.7515351262713814,-0.05908481118589726,8.044624116508535e-08,8.600918784408532e-08,0.022501645737000708,92.05671765275719,299.7923583984375,0.005725935493891653,1.1335230725458464e-14,2.6540594751887452e-05,16.343677520751953
12,183371.0,0.7085904493796213,-0.05265450650028376,-0.0027724970547884243,-0.25852028719129483,0.10530901300056753,0.8189217214005607,0.8917890344024371,0.04393537372939342,0.039181084514245956,0.1355022394014094,-0.3732418401419307,0.7085904493796213,0.8917890344024371,0.05454101571770551,-9.578125999717277e-07,0.00010135110891561322,-0.022823402994555864,0.09648646373303807,0.912484726065005,-0.08587567423961935,1.1796578538113833e-07,1.245224537305235e-07,0.022414177054559302,93.69042655519807,299.7582092285156,0.006576615438563811,1.26980703990802e-14,2.2072926716713758e-05,14.99970531463623
13,146662.0,0.4521544522831571,-0.04264844164165093,-0.0018188895744613044,-0.19253009445028244,0.08529688328330184,0.5113913434374318,0.5634581387539574,0.036448245087222025,0.020537060337694195,0.10776844977989004,-0.26884530654066446,0.4521544522831571,0.5634581387539574,0.0497731702899741,-1.2673966911171818e-06,0.00010942338345449401,-0.02954422330983091,0.10285714151548107,0.5579695194737891,-0.11514028581394208,1.5890337921159688e-07,1.6598226411631037e-07,0.022283308319059822,94.98812766372727,299.7118835449219,0.007469925366171008,1.4088888788133422e-14,1.809822409583984e-05,13.680006980895996
14,115815.0,0.3192252994889324,-0.03304976435114452,-0.001092286923666183,-0.14103250648447502,0.06609952870228904,0.35399537265618447,0.387900713355876,0.030347937428691695,0.011771986577469,0.0832168812975292,-0.19639760108529025,0.3192252994889324,0.387900713355876,0.04450530592081744,-1.4706689861221463e-06,0.00010672501439257073,-0.03446222540321028,0.10036197052682148,0.37860760903601537,-0.14549544459078181,2.0200247481823508e-07,2.0890679516995497e-07,0.022194658078199335,96.01892829446503,299.70941162109375,0.008211440874444614,1.5449083423370412e-14,1.4949480384269192e-05,12.231746673583984
15,92585.0,0.23239718431037287,-0.02628601912085134,-0.0006909548012217626,-0.10901867407728383,0.05257203824170269,0.2540252381532401,0.2787263094569321,0.025366271963925165,0.007070247369185709,0.06645566763127861,-0.15341811230306174,0.23239718431037287,0.2787263094569321,0.04063331952522389,-1.6769697020671994e-06,0.00010309485205962056,-0.04001697571883835,0.09771469640923561,0.26792550355922934,-0.17739434341296684,2.4705763395372827e-07,2.537271096083724e-07,0.022109167653323457,96.83772233983163,299.7024230957031,0.00877116940778327,1.6353496090006763e-14,1.2399421695917363e-05,11.166536331176758
16,73648.0,0.18169584444878228,-0.02116983939249172,-0.0004481620999038943,-0.08576815413596414,0.042339678784983445,0.19460166608539997,0.21151721128640008,0.02225399028484041,0.004707101965044085,0.05317938318496621,-0.12014116986002911,0.18169584444878228,0.21151721128640008,0.037140419837445086,-1.8326997761901865e-06,9.785886962153045e-05,-0.04373498063933271,0.09237730823187724,0.20311026305925775,-0.2095632256400377,2.927148032699731e-07,2.99045549524445e-07,0.022058072361330304,97.48811356849042,299.70892333984375,0.00928914754553429,1.7402884633433583e-14,1.0827869384854633e-05,10.20753002166748
17,58320.0,0.14596175748504173,-0.017128964640210517,-0.00029340142964558223,-0.06880893556505474,0.03425792928042103,0.15456400274694296,0.1662213108238281,0.019882246553198885,0.003304853084195256,0.0429707623345447,-0.09826845943919109,0.14596175748504173,0.1662213108238281,0.035038143765860015,-1.966005483442021e-06,9.155900310688347e-05,-0.047730222159707736,0.08623871366885878,0.15999826838974227,-0.24201935358363494,3.3987654225122574e-07,3.457997336617114e-07,0.022086141281930212,98.00473768503112,299.7683410644531,0.009736141926718537,1.848237020682257e-14,9.698512881441785e-06,9.6373872756958
