,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.228237453270557e-09,,,,,,,,,,,,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3997258367984938e-06,,,,,,,,,,,,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.765653752558306e-06,,,,,,,,,,,,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.988503814883768e-06,,,,,,,,,,,,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4253241446702615e-05,,,,,,,,,,,,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1487300171430863e-05,,,,,,,,,,,,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.222942221597243e-05,,,,,,,,,,,,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,76382.0,37.28182065678244,-0.0430185232139901,-0.0018505933395126049,-7.798663846527249,0.0860370464279802,43.06120695089494,49.42097680841487,0.026867935166475485,1.3278396007523794,-0.13174001971009397,-12.039143727509861,37.28182065678244,49.42097680841487,0.031727595587531965,-1.4829537383855631e-07,-5.93211003940222e-06,-0.004571506334207688,0.007760254921413451,10.878820803843489,10.912352471622652,10.546335915490468,10.071316625802623,10.15341592722407,10.049326079995621,5.694189388884697,5.474378787515582,5.556699432545386,5.153732623128915,5.01518088742195,5.108009521136701,47.51741275396764,47.2799822415483,47.01962216666647,0.0064462250396756906,4.817902606230344e-05,1.939247452376741e-05,1.626537388122708e-05,1.896796909687602e-05,1.6181069773984208e-05,2.0012169952426777e-05,1.3554230155239233e-05,1.6628765110274582e-05,1.1471371398758469e-05,-8.484367916267375e-06,-8.865759810484355e-06,0.021391844763069306,84.15106807538886,299.19671630859375,0.0020536302392134224,1.6628765110274582e-05,4.091177123505498e-09,4.103787313029222e-09,3.966140173851857e-09,3.6234970869191027e-09,3.65303508980311e-09,3.6155852436485525e-09,2.280448519466283e-09,2.192417242980523e-09,2.22538558671812e-09,1.4250886492065116e-09,1.3867769011352695e-09,1.412445487750445e-09,3.4205171479523934e-09,3.4034258314831555e-09,3.384683941949174e-09,1.229506328042799e-05,10.59748363494873,1.1471371398758469e-05
9,59719.0,17.29253528005146,-0.0715253341642192,-0.005115873427303223,-3.0336681317885206,0.1430506683284384,20.515261024264177,22.84264670030958,0.023837440028610647,0.5445102208133704,0.31969724451757614,-5.902293547611229,17.29253528005146,22.84264670030958,0.03248488283553504,-1.467433917889744e-07,1.5730956760147864e-05,-0.005564831669293635,0.029689399075705655,1.7172127625515934,1.781693076774201,1.750070161469864,1.392730005113704,1.4570094715176174,1.4335598777770402,1.3446564159360834,1.3615913744567234,1.360661527769445,1.0253487413763558,1.0134112914842497,1.0195243232821702,24.09811716376984,23.72830947947695,23.797806596209174,-0.01015239981340096,6.971477151950726e-05,4.584162494760021e-05,4.593757601668765e-05,4.9957713203674995e-05,4.859256122900617e-05,4.068398843490383e-05,3.652673082194117e-05,4.065707583091744e-05,3.5509581083760673e-05,1.3128876412718823e-05,1.414026348354983e-05,0.021663395541867712,87.41074588205832,299.3486633300781,0.0023544195084560255,4.065707583091744e-05,3.6086446209832088e-09,3.7441470724866395e-09,3.6776929523558067e-09,3.475938094220454e-09,3.636365057902683e-09,3.5778401924387476e-09,2.22565770478973e-09,2.2536882265386765e-09,2.2521491564689636e-09,1.6948992292321538e-09,1.6751666506423863e-09,1.6852714788481139e-09,4.153729700658892e-09,4.089986913148145e-09,4.101965950179088e-09,1.1186975119156048e-05,10.87248706817627,3.5509581083760673e-05
