,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3767862949031672e-17,-0.0009119155540036795,-0.0012434709995481532,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4410700777848201e-06,-0.04399246984483105,1.4410700777848201e-06,-5.539520603238288e-05,-5.885413638827949e-05,0.011718687738460836,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,469492.0,181455.0,,438326.0,479833.0,478668.0,477386.0,476601.0,426449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.470978892403575e-06,-0.029311513529776446,8.470978892403575e-06,-3.727084965391472e-05,-3.845533756534311e-05,0.0137204817988488,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,263554.0,245566.0,,242375.0,259273.0,259785.0,256962.0,258739.0,232594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4480846479054992e-05,-0.018664477239626172,1.4480846479054992e-05,-2.4076645519042924e-05,-1.9376673899758312e-05,0.014815739450375072,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,200352.0,206587.0,,186778.0,195530.0,197280.0,199773.0,197595.0,187002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1483968732712406e-05,-0.007528338520996445,2.1483968732712406e-05,-1.0616219506927115e-05,3.1104947349911364e-06,0.015500838123916536,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,155564.0,154830.0,,145090.0,152143.0,151046.0,155054.0,155269.0,147416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36907020845998e-05,0.006370479593584688,3.36907020845998e-05,6.257888083867389e-06,2.9057734457508845e-05,0.01600287625828168,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,120666.0,115384.0,,112513.0,121367.0,120870.0,121590.0,121930.0,118208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1029070744419494e-05,0.02376234763176208,5.1029070744419494e-05,2.83425482115191e-05,5.662367957768838e-05,0.01645865747873806,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,95822.0,95584.0,,88936.0,96623.0,96949.0,95896.0,96626.0,93248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.020652645741073e-05,0.0430389370393523,7.020652645741073e-05,5.4721774616267526e-05,8.36182989126239e-05,0.016997203671494463,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,76528.0,77173.0,77173.0,70987.0,77264.0,77189.0,76093.0,76291.0,72716.0,-0.03273214079615324,-0.020072146916642223,-0.002847157545208975,0.08724540443376527,0.1654473736892873,1.806269249644596,0.041542901249101385,-0.0017258126441925896,0.011866269338270485,-0.08308580249820277,2.581951726938694,2.5318825356870516,0.03482973621370368,0.08818480084206322,0.14669915588431962,-0.8967919551012783,1.806269249644596,2.5318825356870516,0.02447951317450303,2.3555374925706678e-09,-1.8509075759637633e-05,-0.006011685535397121,0.036354827498761046,0.7937401231314726,0.8209974985924977,0.789074827962563,0.789074827962563,0.7391254536778888,0.7469807233667654,0.7313035648025404,0.5490449149847704,0.5445114873492696,0.5428453223206948,0.6247311547886509,0.6471480016140302,0.6414522339711887,0.8209974985924977,0.789074827962563,0.7937401231314726,2.576656463846302,2.6123640328597975,2.5934181511555674,-0.027050174931239748,8.970283738163918e-05,0.0628448485040299,8.970283738163918e-05,8.404479780006327e-05,0.00010914082752888308,0.017867995718866624,6.200338543876513e-05,6.324792650062122e-05,6.735769009291601e-05,6.75494680484919e-05,4.4100475745047816e-05,4.0252911902949663e-05,3.3414080694859075e-05,2.7885808799652725e-05,3.8285417798033234e-05,3.953858148383801e-05,0.016470919012842814,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,299.5798645019531,0.0018526087423255146,3.3414080694859075e-05,2.8415085331405e-09,2.8717074875128515e-09,2.811437908628811e-09,2.4910488515542666e-09,2.4704804255533963e-09,2.4629209374902998e-09,1.2150096114507377e-09,1.258607059957158e-09,1.2475296350879217e-09,9.166443546849277e-10,8.810026677497522e-10,8.862114734852767e-10,3.776794031461779e-09,3.829133229729159e-09,3.801362863774164e-09,9.448999997141463e-06,8.218481063842773,2.7885808799652725e-05
9,61425.0,61053.0,61053.0,56695.0,61745.0,61783.0,61379.0,61177.0,54278.0,-0.024552763179833237,-0.021965039811088258,-0.001953693592750727,0.05937889372054418,0.1235391160192873,0.5823651099589219,0.01896771720342719,-0.0003597742959091878,0.03565259890919935,-0.03793543440685438,0.8593180266756022,0.8051745591829067,0.031457388426725526,0.025328688859534196,0.0905801755629855,-0.3380530458705853,0.5823651099589219,0.8051745591829067,0.024663421083615026,2.351301745529936e-08,-1.5403650366203988e-05,-0.007369982009197161,0.04047641849489007,0.39255994978807557,0.3910261373117393,0.39469246560002563,0.39469246560002563,0.3495395392594142,0.3582695981614406,0.3579183179908032,0.289667586042077,0.2900125202585659,0.28745499909641514,0.3318237999678832,0.32742715673632067,0.3308336742395669,0.3910261373117393,0.39469246560002563,0.39255994978807557,0.8540633072077434,0.8702225395597194,0.8642420271744046,-0.048787959539444335,0.00010847363384644475,0.08185849515866271,0.00010847363384644475,0.000113428661813658,0.0001328306851659229,0.019119958418947786,8.634608298072852e-05,8.824267813093175e-05,9.293570034247527e-05,9.311726822477217e-05,6.28640904019138e-05,5.9131290259099884e-05,5.097971976562497e-05,4.4681730250868674e-05,7.034082082462128e-05,7.206788234020329e-05,0.0166454649824689,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,299.5425720214844,0.0019165288189108855,5.097971976562497e-05,2.6060430838402595e-09,2.6711313129755026e-09,2.668512292360211e-09,2.5018718013492994e-09,2.504851013491554e-09,2.482761589664859e-09,1.3113324383785e-09,1.2939573709780203e-09,1.307419566590099e-09,1.0162502735975878e-09,1.025778810875645e-09,1.0202365476595732e-09,4.225760970806078e-09,4.3057141227737196e-09,4.276123557753534e-09,8.715945938486319e-06,8.276102066040039,4.4681730250868674e-05
10,48950.0,49110.0,49110.0,45137.0,49166.0,49065.0,48606.0,48802.0,44325.0,-0.022870949446292227,-0.02171361098944343,-0.0032418439816225145,0.043148740399136035,0.09428496805119091,0.2878019513089607,0.008703242728298586,-7.574643398768223e-05,0.016406063559009944,-0.017406485456597173,0.44480948810118875,0.4068576538522171,0.027741259020542107,0.011286743560004418,0.06724545694476845,-0.21106812840939257,0.2878019513089607,0.4068576538522171,0.024766968921367698,2.1879791200683123e-08,-1.0050796680371162e-05,-0.009247505525171054,0.04259122638006419,0.24280635954713245,0.2411212027738755,0.2460920928707278,0.2460920928707278,0.2210839510801107,0.22525399626579498,0.22091261623802755,0.19066077675953347,0.19437730181507923,0.19310684792010988,0.2057605886780815,0.20330560612881174,0.20521813161915395,0.2411212027738755,0.2460920928707278,0.24280635954713245,0.4502970368889826,0.44924611212066046,0.4482824034976038,-0.06917429536106223,0.00012648951233131813,0.09995095450221483,0.00012648951233131813,0.00014165270949595364,0.00015488489877135502,0.020487745006274132,0.00010850276178364526,0.00011085874854429559,0.00011531151916618375,0.0001156853411206044,8.127279316232688e-05,7.776597450865296e-05,6.869685876230601e-05,6.221977762868482e-05,0.00010019169450992963,0.00010248317369000459,0.016694547333323147,90.0,90.0,90.0,90.0,90.0,90.0,299.49298095703125,0.001946847699299072,6.869685876230601e-05,2.6027880419598897e-09,2.6518813555663512e-09,2.6007709426816905e-09,2.5351680069916645e-09,2.5845856983392975e-09,2.5676927950184093e-09,1.3591036074495453e-09,1.3428877924561387e-09,1.3555205337889798e-09,1.1379132625269579e-09,1.1613721773909351e-09,1.145865952790885e-09,4.5202508098201276e-09,4.509701232217113e-09,4.50002716304291e-09,7.731708340819864e-06,8.305346488952637,6.221977762868482e-05
