,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0392301591148094e-13,-0.0001374723745232381,-0.00011948081026122391,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1840274861797556e-05,-0.028439792931190915,1.1840274861797556e-05,-3.546191328210197e-05,-3.4998988823696765e-05,0.011776791238660883,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,906.0,591.0,,856.0,958.0,938.0,937.0,906.0,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.217642383116231e-05,-0.015469199378496858,2.217642383116231e-05,-2.1667356814663497e-05,-1.4693788546941517e-05,0.013950417736051844,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,472.0,476.0,,444.0,409.0,434.0,465.0,502.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.578850117186587e-05,-0.003459023006677767,3.578850117186587e-05,-6.0503719704625735e-06,2.5689670633753503e-06,0.014905551015877457,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,360.0,364.0,,332.0,384.0,396.0,377.0,378.0,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.746976110847822e-05,0.007025219553403599,4.746976110847822e-05,7.93034122185756e-06,1.6745554147264205e-05,0.015473711306745304,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,305.0,282.0,,287.0,316.0,295.0,295.0,308.0,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.732112620314891e-05,0.015263791715052594,5.732112620314891e-05,2.0285073235149573e-05,2.925276376349758e-05,0.01588450992087155,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,246.0,244.0,,222.0,247.0,249.0,240.0,230.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.506545195345434e-05,0.022817591131537102,6.506545195345434e-05,3.0961139637692994e-05,3.9522073460698386e-05,0.0163641124532826,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,177.0,182.0,,175.0,175.0,187.0,184.0,183.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17271001394799e-05,0.02938852185910095,7.17271001394799e-05,4.0765198962366385e-05,4.925464859717439e-05,0.016976764519474725,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,156.0,160.0,160.0,135.0,139.0,156.0,147.0,151.0,141.0,-0.02308215596527484,0.014046150218684732,0.01386280722223655,0.08621830970453744,0.03982906450803834,0.2537162227270093,0.0318280913722691,-0.0010130274004015109,0.17065002175789673,-0.0636561827445382,0.44256936614672504,0.30740939949185847,0.022318299878561654,0.006860855163347857,0.036035070060908746,-0.09678995021604786,0.2537162227270093,0.30740939949185847,0.007061703390289941,3.321477822211594e-08,-1.4041810270428176e-05,-0.0006570958359340491,0.008997408277379593,0.37433698678145894,0.29873676798175164,0.24900304561740189,0.24900304561740189,0.31039754861343166,0.21444862228212647,0.28800488304744126,0.30361306974918945,0.25141494594008507,0.25142531343110086,0.5500099103995866,0.353585471078901,0.5518937427907932,0.29873676798175164,0.24900304561740189,0.37433698678145894,0.45093609029682785,0.4132856753973316,0.4306575201519712,-0.027189823682362224,7.640329845390954e-05,0.03555515671963019,7.640329845390954e-05,5.034385349152499e-05,5.798332231425283e-05,0.01769273251957769,4.667054470731609e-05,4.6015003225569286e-05,4.871916321459737e-05,4.8043778846924726e-05,2.6419421307978704e-05,2.414158345943274e-05,2.342813415058973e-05,2.2495013484202914e-05,4.00840147249512e-05,4.10092402045469e-05,0.01622579979895865,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,299.93231201171875,0.00022726362266882997,2.342813415058973e-05,6.760892368508533e-10,4.670990670838238e-10,6.273148820236461e-10,7.20642885803667e-10,5.967476707313899e-10,5.967722785608564e-10,3.8389911955506777e-10,2.4679764576612255e-10,3.852140078556224e-10,1.6396988133948987e-10,1.3667216164550262e-10,2.0546513814893856e-10,7.245317491233461e-10,6.640377643895108e-10,6.919495978763653e-10,5.875885643710217e-06,2.3819947242736816,2.2495013484202914e-05
9,119.0,113.0,113.0,114.0,129.0,113.0,120.0,112.0,110.0,-0.03518700492295523,-0.00017650483741479117,0.002030140189975734,0.06807825877517375,0.06010643433727935,0.1320433954313504,0.019280666835354954,-0.0003717441136159564,0.09249515363811216,-0.03856133367070991,0.25760174410379405,0.1892955692673099,0.012397337855871476,0.002346761126826362,0.043429101768575964,-0.10710260761661979,0.1320433954313504,0.1892955692673099,0.006421332012084346,2.6193824570955366e-08,-1.0260346286060844e-05,-0.001064102767236676,0.013121149430190443,0.24036319067528816,0.23621363382540927,0.26326284241527625,0.26326284241527625,0.1614395808411777,0.1458188468087731,0.1567234559071789,0.16123905730586877,0.10217583731950673,0.1433799702961629,0.28413005972605543,0.3432295003985226,0.37137847247974176,0.23621363382540927,0.26326284241527625,0.24036319067528816,0.298895151590941,0.20933088137359715,0.24882265456384337,-0.03288459469314146,8.098903914785063e-05,0.041444961941776846,8.098903914785063e-05,6.0105703928455356e-05,6.674188571169639e-05,0.01843924009830728,5.049153734463996e-05,5.05004493452298e-05,5.2803833719652285e-05,5.269663453463322e-05,3.08408637919e-05,2.874127148582515e-05,3.051590205075892e-05,2.868169998790213e-05,4.778486630372672e-05,4.946627262959871e-05,0.016182569271196837,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,300.0058288574219,0.00020470357896829766,3.051590205075892e-05,4.1157331564101006e-10,3.7174988903791467e-10,3.995500486952621e-10,4.4957397203757925e-10,2.848912527617724e-10,3.9977846455897054e-10,2.70252829221564e-10,3.264657869865589e-10,3.532399317284526e-10,2.1996692575155867e-10,2.45155697293524e-10,2.238310772347615e-10,6.824952306816027e-10,4.779847629224189e-10,5.681600190617009e-10,3.2465596474387527e-06,2.168114423751831,2.868169998790213e-05
