,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.000328141807522796,-0.00030452574814855183,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.197024168403433e-06,-0.03332002397430429,4.197024168403433e-06,-4.23081579567957e-05,-4.085496899191951e-05,0.012284959446442558,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,14750.0,8499.0,,13788.0,15029.0,15004.0,14983.0,14991.0,12618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0690051920431839e-05,-0.019850723629887667,1.0690051920431839e-05,-2.6019488524216186e-05,-2.3051016387333537e-05,0.01433467094550688,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,8129.0,7671.0,,7534.0,7986.0,7946.0,7993.0,7917.0,6946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8466257197056593e-05,-0.009205292511434338,1.8466257197056593e-05,-1.3001548138392026e-05,-7.120529258967009e-06,0.01531912546982803,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,6178.0,6052.0,,5765.0,6052.0,6094.0,6056.0,6106.0,6094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8244199083850987e-05,0.0008410106410257449,2.8244199083850987e-05,-3.1736763227151734e-07,9.22203541669929e-06,0.01595234136940291,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,4846.0,4607.0,,4587.0,4869.0,4873.0,4872.0,4904.0,4634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.957065261247646e-05,0.011163049082928774,3.957065261247646e-05,1.3282492770659974e-05,2.5974819652113874e-05,0.016484900861279177,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,3794.0,3871.0,,3536.0,3799.0,3758.0,3792.0,3744.0,3683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.185422263850393e-05,0.02194093643948352,5.185422263850393e-05,2.806051989566075e-05,4.263493496732142e-05,0.01703281546659962,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,3030.0,3022.0,,2808.0,3031.0,3059.0,3013.0,3065.0,2802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.454675682363888e-05,0.032829655765136,6.454675682363888e-05,4.356159404307904e-05,5.8716399030540284e-05,0.01762839391102238,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,2422.0,2446.0,2446.0,2259.0,2408.0,2358.0,2452.0,2384.0,2284.0,-0.05731909225895882,0.020605846693927364,0.016991628461962865,0.009819742839688136,0.01786719103431868,0.5989045078252901,0.01602469757342826,-0.00025679093231983756,0.08754493934850811,-0.03204939514685652,0.8592608835084722,0.7506435070700955,0.030490858334933153,0.022887764834111677,0.0705816337603878,-0.2399354434864958,0.5989045078252901,0.7506435070700955,0.017614810481302548,1.726941309958407e-08,-7.1172645365924705e-06,-0.001604263411570182,0.01748345462739683,0.44767377470984593,0.4178697844208987,0.4347424179993047,0.4347424179993047,0.42506404178595675,0.46541425960678073,0.4666862914769697,0.4679764820009875,0.4791822677506348,0.4529399121448601,0.46762399700119545,0.47704588625394617,0.46135896562404904,0.4178697844208987,0.4347424179993047,0.44767377470984593,0.8779309903508264,0.8080187639163311,0.8602803239991031,-0.026992662686106925,7.747675155785119e-05,0.04345402458387174,7.747675155785119e-05,5.9808196388479556e-05,7.300446429842912e-05,0.01828796786716414,4.695228080903659e-05,4.598478930875535e-05,4.940612708796313e-05,4.8566636532739944e-05,4.7428448534273824e-05,4.696271336638187e-05,4.6099771193308154e-05,4.5276097774758936e-05,3.684034144798697e-05,3.895199637829568e-05,0.016454229047472305,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,299.8301696777344,0.0005469217408860837,4.6099771193308154e-05,9.37060767282437e-10,1.02601349523451e-09,1.0288177107011461e-09,1.1423143976916376e-09,1.169667332917222e-09,1.1056106510308938e-09,1.0519004149600434e-09,1.0730945565743172e-09,1.0378074916977218e-09,8.880522291996586e-10,9.239097628630164e-10,9.51391338658899e-10,1.1915373848894817e-09,1.0966517590565543e-09,1.167581710630979e-09,8.255145403657413e-06,5.933590888977051,4.5276097774758936e-05
9,1898.0,1858.0,1858.0,1820.0,1927.0,1977.0,1959.0,1950.0,1791.0,-0.03793701372654384,0.013749102769570531,0.013827174273713102,0.0053296819703526985,0.014734136705183913,0.28790531587882756,0.013022884144421168,-0.00016959551143901628,0.059850876726633445,-0.026045768288842336,0.4407577265356962,0.3728067129515789,0.02499660027447404,0.009318900383291202,0.0471498862596878,-0.1483222187549668,0.28790531587882756,0.3728067129515789,0.016270935422527624,2.3277077513886556e-08,-8.121498063387343e-06,-0.0019784174751509647,0.016496343737577145,0.26725815427267846,0.2521447251385043,0.26319503559689666,0.26319503559689666,0.2731737683561656,0.26101411033876504,0.27704045164743973,0.28085953129561225,0.2564422321700244,0.26953259757325093,0.24622084725564886,0.25362561411457524,0.2694315125574512,0.2521447251385043,0.26319503559689666,0.26725815427267846,0.40800057681090285,0.42884598935627155,0.4217217588531074,-0.038124545756389676,8.904578771976597e-05,0.05394613955098976,8.904578771976597e-05,7.546145969916398e-05,8.797196188854623e-05,0.019147877005550415,6.078395454745007e-05,5.994822970963628e-05,6.414678271847283e-05,6.32598139747265e-05,6.135394704754494e-05,6.1026950022155665e-05,5.99584578258242e-05,5.90750217115865e-05,5.2694395127441e-05,5.4693463118702655e-05,0.01635777726123297,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,299.8345031738281,0.0005418674698955564,5.99584578258242e-05,1.009292152663165e-09,9.643659963565722e-10,1.0235783453902374e-09,1.155683533017786e-09,1.055210992919047e-09,1.1090753558904843e-09,9.2685081413523e-10,9.547246285103043e-10,1.0142228797883843e-09,9.064644888272328e-10,9.461905390769323e-10,9.607975184276357e-10,1.1328949069919436e-09,1.1907763489530892e-09,1.1709945032597386e-09,6.688512235264111e-06,5.481220245361328,5.90750217115865e-05
