,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7681428068532673e-26,-0.0005352055808619011,-0.0003755578775045326,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7793461019501644e-06,-0.02945503984923173,5.7793461019501644e-06,-4.959459998184816e-05,-5.16999299868115e-05,0.01568466635428756,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,12348.0,5966.0,,11806.0,12681.0,12653.0,12524.0,12427.0,10871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4045522078987254e-05,-0.01963839090676054,1.4045522078987254e-05,-3.341603026113908e-05,-3.116279920708559e-05,0.018280553965640774,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,6733.0,6934.0,,6418.0,6535.0,6550.0,6691.0,6804.0,6123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.276666260677969e-05,-0.010159460685545272,2.276666260677969e-05,-1.8232847965120383e-05,-8.266680935627019e-06,0.019515480960557968,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,5008.0,4859.0,,4800.0,5021.0,4960.0,5092.0,5085.0,4998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.718271877399421e-05,0.0012116874199230596,3.718271877399421e-05,9.047495199732774e-07,1.6446289986708266e-05,0.02019371255019766,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,3986.0,3909.0,,3712.0,3938.0,3884.0,3907.0,3878.0,4003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.334734545791118e-05,0.013379966413028164,5.334734545791118e-05,2.3160463024566756e-05,4.019923081377793e-05,0.020679318904069773,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,3169.0,3195.0,,2973.0,3116.0,3239.0,3165.0,3141.0,3195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.834822017518381e-05,0.025094155706417903,6.834822017518381e-05,4.537076401974264e-05,6.149465658694827e-05,0.021220850304848816,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,2500.0,2473.0,,2375.0,2533.0,2578.0,2480.0,2515.0,2402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.224008256184011e-05,0.03539855993328005,8.224008256184011e-05,6.720090044105463e-05,8.127949425188881e-05,0.022019188233094115,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,2055.0,2050.0,2050.0,1942.0,1973.0,1994.0,1996.0,2003.0,1844.0,-0.011155127311269367,0.0028845180152262066,0.008114393305034115,0.03356662348690998,0.03877455218893418,0.27556187096562473,0.020349660345358365,-0.0004141086761714506,0.0894487102006449,-0.040699320690716724,0.4275753697197138,0.3448170970858767,0.025596783290956486,0.00882620850912389,0.036195277848701184,-0.11640026624361456,0.27556187096562473,0.3448170970858767,0.010949762274661398,4.127675643062842e-08,-1.3823655584175974e-05,-0.001101396311997885,0.010807960894024096,0.18460868220342652,0.18217548308142534,0.19776361411243884,0.19776361411243884,0.33347693310915055,0.36782925882523126,0.36109862357134676,0.27711527136300323,0.30490986813328036,0.2801781911570778,0.29450285242064755,0.32575567350768464,0.3564128313933734,0.18217548308142534,0.19776361411243884,0.18460868220342652,0.4279413134837402,0.39940736545553174,0.42270212385082934,-0.0316882163401402,9.521582674735e-05,0.04467924111368356,9.521582674735e-05,8.627110084710209e-05,9.92498467525744e-05,0.023090704615282686,6.766406748284876e-05,6.7468889261211e-05,7.137884284232991e-05,7.079964683784903e-05,5.699898130907186e-05,5.508571796433283e-05,5.239410102639617e-05,5.0362543221755884e-05,6.287252593005353e-05,6.357387696118436e-05,0.021437194365036206,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,303.8277587890625,0.0003462456932218141,5.239410102639617e-05,1.526799470392433e-09,1.6840790525843841e-09,1.6532633369508474e-09,1.4118854605129167e-09,1.553497241299144e-09,1.42749085065508e-09,9.568055669785144e-10,1.0583423533086836e-09,1.1579438990718773e-09,5.000975376162239e-10,5.428891680419524e-10,5.067770142881693e-10,1.6916325480716822e-09,1.5788391493307185e-09,1.670922269747763e-09,1.1763086288191799e-05,3.8891329765319824,5.0362543221755884e-05
9,1563.0,1580.0,1580.0,1460.0,1698.0,1584.0,1630.0,1612.0,1557.0,-0.005847311364618711,-0.005924166299399174,0.004138320329866616,0.01933529133892229,0.034079978657961876,0.15371127486622907,0.010074958802605245,-0.00010150479487419292,0.043339587931764394,-0.02014991760521049,0.24981692792427249,0.20182629271818112,0.020720523278026773,0.004181946396384918,0.03044795995190264,-0.08769487689313568,0.15371127486622907,0.20182629271818112,0.009131899089280993,3.402701730144104e-08,-8.927149976793865e-06,-0.001415772907466642,0.01187762358566623,0.12524478556382448,0.12274173891481048,0.11999883926425087,0.11999883926425087,0.1825397757648217,0.2140580000842048,0.21725506821036986,0.17169081224454796,0.19734740845412574,0.18549863178398565,0.1877970981978008,0.18261269696279508,0.21095417804867767,0.12274173891481048,0.11999883926425087,0.12524478556382448,0.24161811337429345,0.2533089823999468,0.25274696084859555,-0.04138548188062464,0.00010662892949004569,0.05333917514103408,0.00010662892949004569,0.00010427947336406489,0.00011599611855847629,0.024575437902915734,8.312496320688799e-05,8.361740931255703e-05,8.70011819118967e-05,8.664114315206827e-05,7.119517515578664e-05,6.98185957022239e-05,6.698547759975266e-05,6.47026139527597e-05,8.244236651579014e-05,8.292443270244398e-05,0.021410240005828887,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,303.87298583984375,0.00034567961976349833,6.698547759975266e-05,1.2613059512059034e-09,1.4790893013766545e-09,1.5011802732596156e-09,1.299563066792778e-09,1.4937631198864265e-09,1.4040772925210258e-09,9.518970983954753e-10,9.256186492613892e-10,1.069274615561074e-09,5.507488362504471e-10,5.384412968278068e-10,5.61980142252897e-10,1.642216413252855e-09,1.7216762547812758e-09,1.7178563382885037e-09,9.498254243459344e-06,3.245396614074707,6.47026139527597e-05
