,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,47206.0,35.319956437972564,-0.19876780659171925,-0.0395086409372831,-3.647906507469669,0.39753561318343844,42.26916962382774,43.13208187860878,0.05499326515160069,2.371974015290884,0.5903440393465212,-8.448868595303988,35.319956437972564,43.13208187860878,0.046399115321253806,-9.421896748590978e-08,3.1944299278115187e-05,-0.003579769894545105,0.0350109024832241,65.8425943091729,-0.007144279429689677,7.641864826714279e-09,9.537640760797845e-09,0.02249514972945546,84.15106807538886,299.9273376464844,0.002201492883802962,3.845082277001643e-15,2.7828338827086168e-05,12.78936767578125
9,37985.0,3.2622489387890847,-0.09534376265335255,-0.009090433076898824,-0.6719177195427771,0.1906875253067051,3.8901740105753597,4.137209926841882,0.04735736216954811,0.19592734887690064,0.2530544465055263,-1.1709621224098046,3.2622489387890847,4.137209926841882,0.04294668785148126,-2.0118202189583293e-07,5.2170959497550575e-05,-0.005657109582415683,0.0507033731924516,4.753372664784953,-0.024111757339295957,2.9377427206512435e-08,3.247358056434375e-08,0.022693823501778253,87.41074588205832,300.0842590332031,0.0024052780419132574,4.102318560831817e-15,2.438949733807813e-05,11.862540245056152
10,30434.0,1.0699091577209667,-0.062159639186383606,-0.0038638207437813967,-0.3327613828681978,0.12431927837276721,1.2778852493797392,1.3916116806414578,0.0412188545387323,0.057360639438761046,0.16105227386152055,-0.5226345797470116,1.0699091577209667,1.3916116806414578,0.03987978296499993,-3.2961477595738165e-07,6.186504891674364e-05,-0.008289261206537016,0.05848257538286722,1.4528942967855913,-0.043677528481286254,5.539358010631589e-08,5.9065041792677384e-08,0.022786562825204693,90.0,300.1559753417969,0.0026548144728446173,4.458131640900861e-15,2.140196054392434e-05,11.025947570800781
11,23956.0,0.4763659486847249,-0.045036184028523905,-0.0020282578718510713,-0.22805704083537023,0.0900723680570478,0.5793477239819517,0.6639629856732682,0.03329260893170777,0.022105060027149206,0.11675606797419658,-0.3399090920834967,0.4763659486847249,0.6639629856732682,0.035555987120756825,-5.008859038601063e-07,6.674354156201341e-05,-0.012096042591703497,0.06349712333765134,0.6352804235954914,-0.06543437160385872,8.399012325101689e-08,8.795110542023467e-08,0.022648619020496297,92.05671765275719,300.11004638671875,0.0028428617568447257,4.481484613974841e-15,1.7077774797761186e-05,9.824490547180176
12,19247.0,0.2477579089213577,-0.03239938592928074,-0.0010497202085944749,-0.156856331240508,0.06479877185856148,0.30263011808802615,0.35787936380971436,0.02788026306154101,0.009977770807311779,0.08450279854631805,-0.22724050458166384,0.2477579089213577,0.35787936380971436,0.03261625114698915,-6.593910888189853e-07,6.642893493616681e-05,-0.015612493026675717,0.06384526177113264,0.3232361138019194,-0.09093455221652653,1.177362734341798e-07,1.2167858486453462e-07,0.02254714603922801,93.69042655519807,300.0616760253906,0.002959337665830708,4.48064408594251e-15,1.4173595124651792e-05,9.006402015686035
13,15340.0,0.15044534057402012,-0.024114520958243145,-0.0005815101210455479,-0.11144681821778843,0.04822904191648629,0.1856765273147714,0.22265461400189623,0.021936857251479928,0.004884342483742961,0.06358152587137592,-0.16366960313267329,0.15044534057402012,0.22265461400189623,0.02787880383342125,-7.526269626631033e-07,6.266639161162731e-05,-0.018098671806094594,0.060954380247788154,0.19496618480426853,-0.11534657452351524,1.5050417416057937e-07,1.5422319257005717e-07,0.022529489324375488,94.98812766372727,300.1102600097656,0.0029623822899431168,4.416277790628939e-15,1.1134663699764092e-05,7.703226566314697
14,12094.0,0.10469535792923433,-0.01863473779755611,-0.00034725345278366636,-0.08440671101544041,0.03726947559511222,0.12930556357242484,0.15488808864672093,0.018964576753475838,0.0029373870453399085,0.049474811845321584,-0.12510443860226744,0.10469535792923433,0.15488808864672093,0.025436896039459256,-8.667406823295545e-07,5.9714443342552995e-05,-0.02119054490406019,0.05869740609947215,0.13426284620548504,-0.142769239995812,1.86629555915983e-07,1.9017338712105702e-07,0.02244509532430416,96.01892829446503,300.08636474609375,0.003157092567423675,4.676454301663518e-15,9.55401817347166e-06,7.026261806488037
15,9584.0,0.0778878191021106,-0.015132557105082375,-0.000228994284538579,-0.06760304738996394,0.030265114210164746,0.09463139565101615,0.11420657582890968,0.016147586701379283,0.0018441605850649668,0.039532469760880484,-0.09842626742382335,0.0778878191021106,0.11420657582890968,0.022575040936143785,-9.55428499708163e-07,5.6888997500301625e-05,-0.023035357847923967,0.05513261700737582,0.09756177275772382,-0.167814424146434,2.1972900044473123e-07,2.231051518962391e-07,0.022401993775473056,96.83772233983163,300.0950927734375,0.003216249151068381,4.710363719791896e-15,8.103655488344676e-06,6.236476421356201
16,7621.0,0.05499127850402125,-0.012760859264279587,-0.00016283952916275018,-0.0551989468861369,0.025521718528559174,0.06638423941250249,0.08083275121916599,0.014240460480787155,0.0011510955992898328,0.03254425585645656,-0.07862688853603288,0.05499127850402125,0.08083275121916599,0.020241159964431585,-1.057740166346376e-06,5.586039741812198e-05,-0.024901168960445287,0.05280833285961738,0.06811146993710863,-0.19517335768845803,2.5647208790044395e-07,2.597871957439949e-07,0.022428672451508067,97.48811356849042,300.1580505371094,0.00307913285613861,4.480231629225797e-15,7.163597397341198e-06,5.596423149108887
