,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0002738195470274056,-0.00019662710790060157,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0945020356489927e-05,-0.02583082490197092,1.0945020356489927e-05,-4.2708893749300166e-05,-4.102712358038521e-05,0.016463789140922253,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,8190.0,5200.0,,7845.0,8202.0,8298.0,8275.0,8302.0,6126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1622337103994662e-05,-0.013165734940151386,2.1622337103994662e-05,-2.2965232622004993e-05,-1.7670325555666533e-05,0.018591743968667196,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,4416.0,4242.0,,4183.0,4309.0,4276.0,4312.0,4373.0,4532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5646475346003204e-05,-0.0028486268453186284,3.5646475346003204e-05,-6.0667963165954e-06,2.7205982998054734e-06,0.019545110184260188,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,3408.0,3254.0,,3235.0,3367.0,3375.0,3329.0,3379.0,3144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.870372857693746e-05,0.006784387924242113,4.870372857693746e-05,1.1104577134841549e-05,2.1156002419132615e-05,0.020198294103904356,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,2725.0,2654.0,,2549.0,2732.0,2680.0,2722.0,2627.0,2692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0064390049724744e-05,0.01550773914907854,6.0064390049724744e-05,2.7014641243836536e-05,3.753840594352696e-05,0.020732389248059896,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,2053.0,2165.0,,1940.0,2140.0,2146.0,2138.0,2153.0,2031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.037307721924495e-05,0.023957798100542937,7.037307721924495e-05,4.311483823921574e-05,5.28851013260365e-05,0.021296942372643762,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,1727.0,1697.0,,1644.0,1696.0,1679.0,1721.0,1689.0,1626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.010257993604546e-05,0.031511027107886495,8.010257993604546e-05,5.762612709259005e-05,6.717731065668711e-05,0.02192085950455169,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,1349.0,1333.0,1333.0,1208.0,1330.0,1378.0,1327.0,1364.0,1235.0,-0.005603924416229368,0.007142216347728047,0.010344927344675238,0.01762677023598247,0.0202416723635081,0.2580052349945631,0.016192845118167255,-0.0002622082330209531,0.08020164630015646,-0.03238569023633451,0.36944468239440925,0.2983802385707431,0.018107712436185724,0.005402983556679506,0.017677658928435536,-0.06412078072465657,0.2580052349945631,0.2983802385707431,0.006068118220041077,2.662776813724765e-08,-9.330370804983192e-06,-0.0004624467086196518,0.004608539352455206,0.20474502725540072,0.21149007693898753,0.19071717082579814,0.19071717082579814,0.2843128978148902,0.22582005094959132,0.27540119500918586,0.2625816774019726,0.23039984052926676,0.2616407494008101,0.26147778872477057,0.30358647139066314,0.2762377640602094,0.21149007693898753,0.19071717082579814,0.20474502725540072,0.36391502152974425,0.39407868370493293,0.37001078906432433,-0.027664596566224556,8.930282327985299e-05,0.03880456009893432,8.930282327985299e-05,7.129217085723492e-05,8.119018480323259e-05,0.022809298678775895,5.795150787751033e-05,5.753760567057209e-05,6.064977787624016e-05,6.0022360330639765e-05,5.638425447265008e-05,5.539038217413351e-05,5.225218012133208e-05,5.119450861103707e-05,5.230540132133634e-05,5.259851683690165e-05,0.020828183752155713,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,303.8348083496094,0.0002283593190937742,5.225218012133208e-05,9.548299722465907e-10,7.583889251528334e-10,9.249011121490066e-10,9.65879275357261e-10,8.475017496067106e-10,9.624181699788575e-10,8.312860421279457e-10,9.651572987393314e-10,8.782107218047273e-10,5.77429311414395e-10,5.207132467808982e-10,5.590133675052487e-10,9.956187339151543e-10,1.0781421401182454e-09,1.0122958700484965e-09,7.85536537220328e-06,2.1554722785949707,5.119450861103707e-05
9,1086.0,1095.0,1095.0,1060.0,1079.0,1077.0,1069.0,1053.0,999.0,-0.021513039737221264,0.0030410065926459087,0.008194624534552908,0.01143487154439325,0.017457694859666466,0.16224148812126554,0.011552437177691005,-0.00013345880474449726,0.05116306521404626,-0.023104874355382006,0.24987700128114848,0.2005878536306688,0.017794962302802208,0.0035694532937577588,0.022558678332880323,-0.06718927978384258,0.16224148812126554,0.2005878536306688,0.006284235941558999,2.7313801288065925e-08,-8.44085442976755e-06,-0.0007745227772716773,0.007434987219261753,0.15907565824176237,0.15301753457064074,0.17119823260327277,0.17119823260327277,0.16634443712406935,0.2318513011955534,0.2045501756759972,0.19252448663153818,0.17530514317651388,0.19735367610435242,0.19718992018714862,0.1982013973502189,0.206928289621342,0.15301753457064074,0.17119823260327277,0.15907565824176237,0.22484851641369175,0.23753641213193316,0.25046983388827704,-0.03497579812326394,9.801336692073091e-05,0.04578950125124071,9.801336692073091e-05,8.535639188812324e-05,9.400466791935958e-05,0.023861761571435255,7.079186407670974e-05,7.057658555134677e-05,7.376646066827962e-05,7.31619722198602e-05,6.921621916902067e-05,6.842474059403435e-05,6.47232402692144e-05,6.359332169026558e-05,6.529300197683463e-05,6.669765292292474e-05,0.020890323312342286,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,303.8294677734375,0.00024538041601247844,6.47232402692144e-05,8.336331537503168e-10,1.161920018236649e-09,1.0251007547777466e-09,1.0476202072867999e-09,9.539213096799744e-10,1.0738981969859456e-09,9.447142299976772e-10,9.49560100762082e-10,9.913696380059843e-10,6.410054221666457e-10,7.17166144860237e-10,6.663834948969466e-10,9.585688229022852e-10,1.0126595567782639e-09,1.0677970113935635e-09,7.765821344767614e-06,2.2320830821990967,6.359332169026558e-05
